11	1	1	57.28	27.2	164.13	169.45	181.04
11	2	1	57.28	27.5	164.21	195.68	207.65
11	3	1	57.28	29.8	170.09	195.58	217.19
11	4	1	57.28	25.9	164.77	169.11	181.78
12	1	1	57.28	30	164.86	134.55	147.13
12	1	2	57.28	24.4	158.21	408.2	410.43
12	2	1	57.28	29.1	165.29	404.1	417.71
12	2	2	57.28	27.2	166.5	404	419.68
13	1	1	57.28	29.3	165.3	134.03	147.75
13	2	1	57.28	31.2	165.08	403.94	417.73
14	1	1	57.28	27.6	172.55	403.93	429.39
14	2	1	57.28	30.4	166.83	408.34	424.8
14	3	1	57.28	27.8	180.21	134.62	171.76
15	1	1	57.28	32.7	164.97	408.21	422.28
15	2	1	57.28	29.9	164.21	403.92	416.88
15	2	2	57.28	26.1	158.21	403.99	406.43
15	3	1	57.28	29.1	165.06	133.92	147.53
15	4	1	57.28	26.5	166.11	169.14	184.53
